唯一id,所属选词,文本值
312,100206,和地点
313,100207,基于过去
314,100207,根据未来
315,100208,6年的
316,100208,66天的
317,100209,企业运营数据汇总
318,100209,能源消耗监测结果
319,100210,人均DPS
320,100210,人均GPS
321,100211,同比增长500%
322,100211,同比增长2000%
323,100212,城市文化发展
324,100212,工业生产体系
325,100213,波动明显
326,100213,明显改善
327,100214,在全国
328,100214,在地球
329,100215,关键区域中
330,100215,重点行业中
331,100216,排名靠后
332,100216,位于中游
333,100217,在完成了
334,100217,在结束了
335,100218,对爱爱尼亚
336,100218,对爱尔尼亚
337,100219,拉稀维亚
338,100219,拉拉维亚
339,100220,哈吉米斯坦
340,100220,吉尔吉斯斯坦
341,100221,和土库库斯坦
342,100221,和土耳其斯坦
343,100222,的短期停留后
344,100222,的文化交流后
345,100223,各联盟国
346,100223,各轴心国
347,100224,少数表示
348,100224,部分认为
349,100225,明确支持
350,100225,绝对反对
351,100226,弗拉拉米尔
352,100226,弗哈基米尔
353,100227,总书记的管理
354,100227,总书记的独裁
355,100228,受国外
356,100228,受高层
357,100229,多数
358,100229,全部
359,100230,叛乱分子的影响
360,100230,投机分子的破坏
361,100231,列夫格勒
362,100231,列宁格桑
363,100232,基法
364,100232,基里
365,100233,塔拉仕
366,100233,塔里仕
367,100234,以及叶卡琳娜堡
368,100234,以及卡珊琳娜堡
369,100235,啤酒供应
370,100235,黄油供应
371,100236,预计会在
372,100236,基本不会
373,100237,上周
374,100237,明年
375,100238,永久断供
376,100238,暂时正常
377,100239,受邪恶资本主义
378,100239,受邪恶独裁主义
379,100240,经济制裁
380,100240,经济条款
381,100241,列夫格勒
382,100241,列宁格桑
383,100242,基法
384,100242,基里
385,100243,塔拉仕
386,100243,塔里仕
387,100244,叶卡琳娜堡
388,100244,卡珊琳娜堡
389,100245,以及明斯科尔
390,100245,以及明斯克斯
391,100246,糖果供应
392,100246,红酒供应
393,100247,一定会在
394,100247,不太可能
395,100248,下辈子
396,100248,下星期
397,100249,恢复断供
398,100249,永久正常
399,100250,老头子
400,100250,一位农民
401,100251,在亚特兰大
402,100251,在莫希科区
403,100252,狠狠贬低了
404,100252,轻蔑鄙视了
405,100253,制作奶酪的
406,100253,种植大米的
407,100254,悲惨结果
408,100254,日常工作
409,100255,老变态
410,100255,老吃家
411,100256,激情接触了
412,100256,狂热欢迎了
413,100257,一个老头
414,100257,眼镜男人
415,100258,单方面
416,100258,一群人
417,100259,拒绝表现
418,100259,激烈反抗
419,100260,淡然的
420,100260,极限的
421,100261,基情碰撞
422,100261,爱意绵绵
423,100262,丘吉尔
424,100262,阿道夫
425,100263,总统
426,100263,元首
427,100264,看上去是
428,100264,让很多人
429,100265,一个
430,100265,觉得
431,100266,可笑的
432,100266,是可笑的
433,100267,肥猪
434,100267,失败者
